·½1-9,·½1-9É¾ÖØºó106,,·½1-9É¾ÖØºó83,,,pubmed¼ìË÷(thyroid cancer) AND (naphthalene),·½1-9É¾ÖØºó14¸öºËÐÄÐ¡·Ö×Ó,,,source_fang,fang1,fang2,fang3,fang4,fang5,fang6,fang7,fang8,fang9
HBIN008361,HERB000225,#N/A,HBIN045944,Tereton,,0,,,,,,,,,,,,,
HBIN033339,HERB006950,#N/A,HBIN030532,isobutyric acid,Òì¶¡Ëá,0,,,,,,,,,,,,,
HBIN034423,HBIN035055,methyl-7-epiganoderate,HBIN001991,17-beta-estradiol,17¦Â-´Æ¶þ´¼,,,,,,,,,,,,,,
HERB004609,HBIN020908,cis-palmitoleic acid,HBIN031753,kaempferol,É½ÄÎ·Ó,,,,,,,,,,,,,,
HBIN046831,HBIN046523,toluene,HBIN001977,"1,7,8,10,11,12,13,14,15,17,-decahydro-decahydro-17-(2-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2H-cyclopenta£Û¦Á£Ýpenanthrene-3(6H,9H,14H)-one",,0,,,,,,,,,,,,,
HBIN019690,HBIN020903,cis-oleic acid,HBIN033751,lupeol,ÓðÉÈ¶¹´¼,0,,,,,,,,,,,,,
HBIN019691,HBIN026609,FMT,HBIN004074,"2,3-diphenyl-2-cyclopropen-1-one",¶þ±½»ù»·±ûÏ©Íª,0,,,,,,,,,,,,,
HBIN042172,HERB000330,#N/A,HBIN045833,tectorigenin,ð°Î²ß°Ôª,0,,,,,,,,,,,,,
HBIN014685,HBIN044676,(s)-serine,HBIN007081,"3,3',4',5,5',7-hexahydroxyflavone",ÑîÃ·ËØ,0,,,,,,,,,,,,,
HBIN020984,HERB006280,#N/A,HBIN028041,glucoside,ÌÇÜÕ,,,,,,,,,,,,,,
HBIN014693,HBIN045032,(s)-tyrosine,HBIN036308,naphthalene,ÝÁ,,,,,,,,,,,,,,
HERB000638,HBIN022584,DAL,,,,,,,,,,,,,,,,,
HBIN018100,HBIN019111,butylated hydroxytoluene,,,,,,,,,,,,,,,,,
HERB002560,HBIN038680,palmitic acid,,,,,,,,,,,,,,,,,
HBIN027747,HBIN018278,beta-sitosterol,,,,,,,,,,,,,,,,,
HBIN017246,HBIN033609,L-Serin,,,,,,,,,,,,,,,,,
HBIN034357,HBIN044060,Sinapaldehyde,,,,,,,,,,,,,,,,,
HBIN019425,HBIN010510,4-hydroxybenzoylcholine,,,,,,,,,,,,,,,,,
HBIN045073,HBIN012818,6-shogaol,,,,,,,,,,,,,,,,,
HBIN042111,HERB001779,#N/A,,,,,,,,,,,,,,,,,
HERB001210,HBIN045944,Tereton,,,,,,,,,,,,,,,,,
HBIN014399,HBIN030532,isobutyric acid,,,,,,,,,,,,,,,,,
HBIN019762,HBIN001991,17-beta-estradiol,,,,,,,,,,,,,,,,,
HBIN021608,HERB004984,#N/A,,,,,,,,,,,,,,,,,
HBIN021985,HERB004004,#N/A,,,,,,,,,,,,,,,,,
HERB005022,HBIN031753,kaempferol,,,,,,,,,,,,,,,,,
HBIN026067,HBIN001977,"1,7,8,10,11,12,13,14,15,17,-decahydro-decahydro-17-(2-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2H-cyclopenta£Û¦Á£Ýpenanthrene-3(6H,9H,14H)-one",,,,,,,,,,,,,,,,,
HBIN020653,HBIN033751,lupeol,,,,,,,,,,,,,,,,,
HBIN018163,HERB004719,#N/A,,,,,,,,,,,,,,,,,
HBIN022577,HBIN004074,"2,3-diphenyl-2-cyclopropen-1-one",,,,,,,,,,,,,,,,,
HBIN016571,HBIN045833,tectorigenin,,,,,,,,,,,,,,,,,
HBIN037272,HBIN007081,"3,3',4',5,5',7-hexahydroxyflavone",,,,,,,,,,,,,,,,,
HBIN027764,HBIN028041,glucoside,,,,,,,,,,,,,,,,,
HERB000309,HBIN036308,naphthalene,,,,,,,,,,,,,,,,,
HBIN040811,,,,,,,,,,,,,,,,,,,
HBIN014685,,,,,,,,,,,,,,,,,,,
HBIN019691,,,,,,,,,,,,,,,,,,,
HBIN026067,,,,,,,,,,,,,,,,,,,
HBIN014399,,,,,,,,,,,,,,,,,,,
HERB004938,,,,,,,,,,,,,,,,,,,
HERB004950,,,,,,,,,,,,,,,,,,,
HBIN021986,,,,,,,,,,,,,,,,,,,
HBIN041495,,,,,,,,,,,,,,,,,,,
HBIN021985,,,,,,,,,,,,,,,,,,,
HERB002483,,,,,,,,,,,,,,,,,,,
HBIN038387,,,,,,,,,,,,,,,,,,,
HBIN038388,,,,,,,,,,,,,,,,,,,
HBIN004214,,,,,,,,,,,,,,,,,,,
HERB001749,,,,,,,,,,,,,,,,,,,
HBIN036905,,,,,,,,,,,,,,,,,,,
HBIN045028,,,,,,,,,,,,,,,,,,,
HERB004013,,,,,,,,,,,,,,,,,,,
HBIN042852,,,,,,,,,,,,,,,,,,,
HBIN047613,,,,,,,,,,,,,,,,,,,
HBIN021608,,,,,,,,,,,,,,,,,,,
HBIN019786,,,,,,,,,,,,,,,,,,,
HBIN028076,,,,,,,,,,,,,,,,,,,
HBIN036162,,,,,,,,,,,,,,,,,,,
HBIN040908,,,,,,,,,,,,,,,,,,,
HBIN017024,,,,,,,,,,,,,,,,,,,
HBIN014685,,,,,,,,,,,,,,,,,,,
HBIN047613,,,,,,,,,,,,,,,,,,,
HBIN045516,,,,,,,,,,,,,,,,,,,
HERB004950,,,,,,,,,,,,,,,,,,,
HBIN020406,,,,,,,,,,,,,,,,,,,
HBIN002554,,,,,,,,,,,,,,,,,,,
HBIN045176,,,,,,,,,,,,,,,,,,,
HERB004938,,,,,,,,,,,,,,,,,,,
HBIN019691,,,,,,,,,,,,,,,,,,,
HBIN041495,,,,,,,,,,,,,,,,,,,
HBIN026067,,,,,,,,,,,,,,,,,,,
HBIN021985,,,,,,,,,,,,,,,,,,,
HBIN038026,,,,,,,,,,,,,,,,,,,
HBIN028769,,,,,,,,,,,,,,,,,,,
HERB001749,,,,,,,,,,,,,,,,,,,
HBIN020260,,,,,,,,,,,,,,,,,,,
HBIN026843,,,,,,,,,,,,,,,,,,,
HERB004013,,,,,,,,,,,,,,,,,,,
HBIN036036,,,,,,,,,,,,,,,,,,,
HBIN014685,,,,,,,,,,,,,,,,,,,
HBIN027528,,,,,,,,,,,,,,,,,,,
HBIN021608,,,,,,,,,,,,,,,,,,,
HERB003658,,,,,,,,,,,,,,,,,,,
HBIN014693,,,,,,,,,,,,,,,,,,,
HERB000225,,,,,,,,,,,,,,,,,,,
HERB006950,,,,,,,,,,,,,,,,,,,
HBIN035055,,,,,,,,,,,,,,,,,,,
HBIN020908,,,,,,,,,,,,,,,,,,,
HBIN046523,,,,,,,,,,,,,,,,,,,
HBIN020903,,,,,,,,,,,,,,,,,,,
HBIN014399,,,,,,,,,,,,,,,,,,,
HBIN026609,,,,,,,,,,,,,,,,,,,
HBIN038026,,,,,,,,,,,,,,,,,,,
HERB000330,,,,,,,,,,,,,,,,,,,
HBIN044676,,,,,,,,,,,,,,,,,,,
HERB006280,,,,,,,,,,,,,,,,,,,
HBIN028076,,,,,,,,,,,,,,,,,,,
HERB004694,,,,,,,,,,,,,,,,,,,
HBIN045032,,,,,,,,,,,,,,,,,,,
HBIN022584,,,,,,,,,,,,,,,,,,,
HBIN019111,,,,,,,,,,,,,,,,,,,
HBIN020406,,,,,,,,,,,,,,,,,,,
HBIN038680,,,,,,,,,,,,,,,,,,,
HBIN018278,,,,,,,,,,,,,,,,,,,
HBIN026067,,,,,,,,,,,,,,,,,,,
HBIN033609,,,,,,,,,,,,,,,,,,,
HBIN044060,,,,,,,,,,,,,,,,,,,
HBIN010510,,,,,,,,,,,,,,,,,,,
HBIN012818,,,,,,,,,,,,,,,,,,,
HERB001779,,,,,,,,,,,,,,,,,,,
HBIN045944,,,,,,,,,,,,,,,,,,,
HBIN030532,,,,,,,,,,,,,,,,,,,
HBIN001991,,,,,,,,,,,,,,,,,,,
HBIN014685,,,,,,,,,,,,,,,,,,,
HERB004984,,,,,,,,,,,,,,,,,,,
HBIN034423,,,,,,,,,,,,,,,,,,,
HERB004004,,,,,,,,,,,,,,,,,,,
HBIN041495,,,,,,,,,,,,,,,,,,,
HBIN020984,,,,,,,,,,,,,,,,,,,
HBIN031753,,,,,,,,,,,,,,,,,,,
HBIN034357,,,,,,,,,,,,,,,,,,,
HBIN042852,,,,,,,,,,,,,,,,,,,
HBIN001977,,,,,,,,,,,,,,,,,,,
HBIN026067,,,,,,,,,,,,,,,,,,,
HBIN033751,,,,,,,,,,,,,,,,,,,
HERB004719,,,,,,,,,,,,,,,,,,,
HBIN020653,,,,,,,,,,,,,,,,,,,
HBIN004074,,,,,,,,,,,,,,,,,,,
HBIN045833,,,,,,,,,,,,,,,,,,,
HBIN001991,,,,,,,,,,,,,,,,,,,
HBIN014685,,,,,,,,,,,,,,,,,,,
HERB004984,,,,,,,,,,,,,,,,,,,
HBIN034423,,,,,,,,,,,,,,,,,,,
HBIN041495,,,,,,,,,,,,,,,,,,,
HERB004004,,,,,,,,,,,,,,,,,,,
HBIN020984,,,,,,,,,,,,,,,,,,,
HBIN007081,,,,,,,,,,,,,,,,,,,
HBIN019786,,,,,,,,,,,,,,,,,,,
HERB001210,,,,,,,,,,,,,,,,,,,
HBIN038026,,,,,,,,,,,,,,,,,,,
HBIN028041,,,,,,,,,,,,,,,,,,,
HBIN021985,,,,,,,,,,,,,,,,,,,
HBIN008361,,,,,,,,,,,,,,,,,,,
HBIN034357,,,,,,,,,,,,,,,,,,,
HBIN042852,,,,,,,,,,,,,,,,,,,
HBIN001977,,,,,,,,,,,,,,,,,,,
HBIN026067,,,,,,,,,,,,,,,,,,,
HBIN031753,,,,,,,,,,,,,,,,,,,
HBIN033751,,,,,,,,,,,,,,,,,,,
HBIN036308,,,,,,,,,,,,,,,,,,,
HBIN020653,,,,,,,,,,,,,,,,,,,
