Syndrome_id,SYMBOL
Syndrome 5,SEC14L1
Syndrome 5,SEC14L3
Syndrome 5,SEC14L4
Syndrome 5,SEC14L5
Syndrome 5,SEC14L6
Syndrome 5,SEC31A
Syndrome 5,SEC62
Syndrome 5,SELENOW
Syndrome 5,SERBP1
Syndrome 5,SERTAD2
Syndrome 5,SET
Syndrome 5,SETD6
Syndrome 5,SF1
Syndrome 5,SF3A2
Syndrome 5,SFSWAP
Syndrome 5,SGSM2
Syndrome 5,SLC25A6
Syndrome 5,SLC30A5
Syndrome 5,SLC39A2
Syndrome 5,SMAD5
Syndrome 5,SMAP1
Syndrome 5,SMARCC1
Syndrome 5,SMARCD2
Syndrome 5,SMC6
Syndrome 5,SMG5
Syndrome 5,SMG6
Syndrome 5,SMPD4
Syndrome 5,SNF8
Syndrome 5,SNRNP27
Syndrome 5,SNRNP35
Syndrome 5,SNTB2
Syndrome 5,SNX17
Syndrome 5,SNX6
Syndrome 5,SOCS1
Syndrome 5,SOGA1
Syndrome 5,SPAG7
Syndrome 5,SPAM1
Syndrome 5,SPCS2
Syndrome 5,SPTBN5
Syndrome 5,SRSF9
Syndrome 5,STAB1
Syndrome 5,STAG2
Syndrome 5,STK38
Syndrome 5,STK38L
Syndrome 5,STOML1
Syndrome 5,STOML2
Syndrome 5,STRN
Syndrome 5,SUMO2
Syndrome 5,SUN2
Syndrome 5,SUPT5H
Syndrome 5,SURF2
Syndrome 5,SUZ12
Syndrome 5,SYDE1
Syndrome 5,SYNDIG1
Syndrome 5,SYNGR1
Syndrome 5,TADA3
Syndrome 5,TAF5L
Syndrome 5,TAF6
Syndrome 5,TAF9B
Syndrome 5,TAGLN
Syndrome 5,TARBP2
Syndrome 5,TASOR
Syndrome 5,TAX1BP3
Syndrome 5,TBCB
Syndrome 5,TCEA2
Syndrome 5,TCERG1
Syndrome 5,TCF21
Syndrome 5,TCF7L1
Syndrome 5,TGOLN2
Syndrome 5,THADA
Syndrome 5,THAP4
Syndrome 5,THSD7A
Syndrome 5,THY1
Syndrome 5,TIAF1
Syndrome 5,TIAL1
Syndrome 5,TIMM13
Syndrome 5,TIPARP
Syndrome 5,TLN1
Syndrome 5,TMA16
Syndrome 5,TMBIM1
Syndrome 5,TMC5
Syndrome 5,TMEM11
Syndrome 5,TMEM161B
Syndrome 5,TMEM176A
Syndrome 5,TMEM186
Syndrome 5,TMEM208
Syndrome 5,TMEM222
Syndrome 5,TMEM260
Syndrome 5,TMEM63A
Syndrome 5,TMF1
Syndrome 5,TNPO2
Syndrome 5,TNS2
Syndrome 5,TOR3A
Syndrome 5,TP53I3
Syndrome 5,TRAFD1
Syndrome 5,TRIM27
Syndrome 5,TRIP6
Syndrome 5,TRIT1
Syndrome 5,TRMT11
Syndrome 5,TRMT112
Syndrome 5,TRO
Syndrome 5,TSC22D2
Syndrome 5,TSPAN14
Syndrome 5,TSR3
Syndrome 5,TTC17
Syndrome 5,TTC24
Syndrome 5,TTC3
Syndrome 5,TTC31
Syndrome 5,TTF1
Syndrome 5,TTPAL
Syndrome 5,TULP3
Syndrome 5,TXLNA
Syndrome 5,U2AF1
Syndrome 5,UBAP2
Syndrome 5,UBAP2L
Syndrome 5,UBE4B
Syndrome 5,UBL3
Syndrome 5,UBN1
Syndrome 5,UBXN4
Syndrome 5,UGGT2
Syndrome 5,UHRF1BP1L
Syndrome 5,UPF3A
Syndrome 5,USF2
Syndrome 5,USP33
Syndrome 5,USP47
Syndrome 5,USPL1
Syndrome 5,UTP11
Syndrome 5,UTP20
Syndrome 5,UTP25
Syndrome 5,VEZT
Syndrome 5,VNN2
Syndrome 5,VPS39
Syndrome 5,VPS4A
Syndrome 5,VPS72
Syndrome 5,VSTM4
Syndrome 5,VTI1B
Syndrome 5,WAPL
Syndrome 5,WASHC2C
Syndrome 5,WBP2
Syndrome 5,WDR1
Syndrome 5,WDR83OS
Syndrome 5,WLS
Syndrome 5,WSCD1
Syndrome 5,XKR8
Syndrome 5,YBX3
Syndrome 5,YIPF3
Syndrome 5,YLPM1
Syndrome 5,ZBED1
Syndrome 5,ZC3H15
Syndrome 5,ZCCHC24
Syndrome 5,ZER1
Syndrome 5,ZHX2
Syndrome 5,ZNF593
Syndrome 5,ZZEF1
