"NodeNames","Score"
"HBIN045115",2.04863840402375e-06
"HBIN048396",2.03057343562062e-06
"HBIN038555",2.01184342279867e-06
"HBIN044179",1.98979086072112e-06
"HBIN026151",1.98442046358395e-06
"HBIN006701",1.97316152829134e-06
"HBIN026843",1.94412896251148e-06
"HBIN037372",1.90701458972935e-06
"HBIN003599",1.87333048908871e-06
"HBIN026072",1.86314148123792e-06
"HBIN034738",1.8554938156377e-06
"HBIN016568",1.82177979401054e-06
"HBIN024535",1.82020369273768e-06
"HBIN031499",1.79421886902811e-06
"HBIN028847",1.75053007832566e-06
"HBIN032583",1.73487988872235e-06
"HBIN019948",1.71361466079262e-06
"HBIN030515",1.68034530058838e-06
"HBIN025553",1.65107821691436e-06
"HBIN017968",1.64988866022678e-06
"HBIN029400",1.64943217563321e-06
"HBIN034394",1.64268429930405e-06
"HBIN018781",1.62112309906633e-06
"HBIN037294",1.61024542799323e-06
"HBIN035214",1.60016423564424e-06
"HBIN045252",1.58938304124892e-06
"HBIN028550",1.52251888516718e-06
"HBIN024107",1.51244019729574e-06
"HBIN019801",1.50971265116726e-06
"HBIN032992",1.46794539172379e-06
"HBIN011060",1.46291183833762e-06
"HBIN038629",1.44927266357352e-06
"HBIN033245",1.43904176671302e-06
"HBIN035791",1.43532333355381e-06
"HBIN041334",1.42840348218748e-06
"HBIN040905",1.42059484971738e-06
"HBIN045980",1.41341239678012e-06
"HBIN034504",1.36932464947904e-06
"HBIN021616",1.36172484895067e-06
"HBIN030735",1.34144012952932e-06
"HBIN041152",1.32923006279563e-06
"HBIN036159",1.31838270686302e-06
"HBIN036067",1.31640499146381e-06
"HBIN014935",1.30723568967713e-06
"HBIN029443",1.28962032646414e-06
"HBIN026465",1.28412923560189e-06
"HBIN017440",1.28104059686604e-06
"HBIN024976",1.26699610026526e-06
"HBIN026468",1.24744149266885e-06
"HBIN045975",1.24638896002247e-06
"HBIN048349",1.24545786132639e-06
"HBIN038494",1.24325240376346e-06
"HBIN039419",1.23708615436003e-06
"HBIN007867",1.23643879201217e-06
"HBIN021357",1.22732770326897e-06
"HBIN039092",1.22667286116226e-06
"HBIN030752",1.22515570627792e-06
"HBIN019825",1.22191741260174e-06
"HBIN042760",1.22036038195745e-06
"HBIN036050",1.21704393531436e-06
"HBIN015704",1.19931348179198e-06
