Ingredient_id,Target_name
HBIN015547,ACHE
HBIN015547,GABRA1
HBIN015547,CA2
HBIN015547,SLC6A2
HBIN015547,TNF
HBIN015547,IL1B
HBIN016087,FAM102A
HBIN016087,ICAM1
HBIN016087,CYP1A1
HBIN016087,CASP9
HBIN016087,CASP3
HBIN016087,BCL2
HBIN016087,BAX
HBIN016087,BIRC2
HBIN017212,PTGS1
HBIN017212,ESR1
HBIN017212,ESR2
HBIN017212,KDR
HBIN017212,CCNA2
HBIN017212,AR
HBIN017212,DPP4
HBIN017212,NCOA2
HBIN017212,MAPK14
HBIN017212,PIM1
HBIN017212,KCNH2
HBIN017212,PRSS1
HBIN017212,CHEK1
HBIN017212,NOS2
HBIN017212,PPARG
HBIN017212,PTGS2
HBIN017212,CDK2
HBIN017212,F7
HBIN017212,CA2
HBIN017212,GSK3B
HBIN018094,CHRM3
HBIN018094,ACHE
HBIN018094,GABRA1
HBIN018094,DPP4
HBIN018094,PTGS2
HBIN018094,ADRA1D
HBIN018094,CDK1
HBIN018094,DPEP1
HBIN018094,NCOA2
HBIN018094,SLC6A2
HBIN018094,CHRM2
HBIN018094,CHRNA7
HBIN018094,ESR1
HBIN018094,RXRA
HBIN018094,PTGS1
HBIN018094,PRSS1
HBIN018094,CHRM1
HBIN018094,CA2
HBIN018094,TP53
HBIN018094,TEP1
HBIN018094,RB1
HBIN018094,POLD1
HBIN018094,EIF6
HBIN018094,CDKN1A
HBIN018094,CCNB1
HBIN018094,RUNX1T1
HBIN018094,BCL2
HBIN018094,RHOA
HBIN018278,ESR2
HBIN018278,ADRA1D
HBIN018278,CHRM2
HBIN018278,KCNH2
HBIN018278,ADRA1B
HBIN018278,MAPK14
HBIN018278,OPRM1
HBIN018278,NR3C2
HBIN018278,PTGS2
HBIN018278,SLC6A4
HBIN018278,GABRA1
HBIN018278,CHEK1
HBIN018278,DPEP1
HBIN018278,PIM1
HBIN018278,PTGS1
HBIN018278,NOS2
HBIN018278,AR
HBIN018278,ADRB2
HBIN018278,PRSS1
HBIN018278,PPARG
HBIN018278,ESR1
HBIN018278,CA2
HBIN018278,CDK2
HBIN018278,PGR
HBIN018278,PDE3A
HBIN018278,CHRM3
HBIN018278,SCN5A
HBIN018278,CCNA2
HBIN018278,GSK3B
HBIN018278,CHRNA7
HBIN018278,CHRNA2
HBIN018278,DPP4
HBIN018278,NCOA2
HBIN018278,CHRM1
HBIN018278,NR3C1
HBIN018278,DRD1
HBIN018278,CHRM4
HBIN018278,ACHE
HBIN018278,TGFB1
HBIN018278,PRKCA
HBIN018278,PON1
HBIN018278,MAP2
HBIN018278,JUN
HBIN018278,CASP9
HBIN018278,CASP8
HBIN018278,CASP3
HBIN018278,BCL2
HBIN018278,BAX
HBIN018434,PRSS1
HBIN018781,DPP4
HBIN018781,DAO
HBIN018781,ESR1
HBIN018781,PRSS1
HBIN018781,PRSS3
HBIN018781,CHRM3
HBIN018781,LYZ
HBIN018781,ACHE
HBIN018781,CDK2
HBIN018781,ADH1A
HBIN018781,PLA2G2E
HBIN018781,NCOA2
HBIN018781,CA2
HBIN018781,GABRA1
HBIN018781,RXRA
HBIN018781,PTGS2
HBIN018781,MAOB
HBIN018951,SRC
HBIN018951,PKM
HBIN018951,PIM1
HBIN018951,LTA4H
HBIN018951,ALDH9A1
HBIN018951,LTF
HBIN018951,AGXT2
HBIN018951,GPHN
HBIN018951,CHDH
HBIN018951,TPI1
HBIN018951,ADH1A
HBIN018951,ARF1
HBIN018951,LYZ
HBIN018951,NOS2
HBIN018951,CA2
HBIN018951,GABRA1
HBIN018951,PLA2G2E
HBIN018951,ACHE
HBIN018951,CELA3A
HBIN018951,ME2
HBIN018951,PRSS1
HBIN018951,F13A1
HBIN018951,NFS1
HBIN018951,GALE
HBIN018951,DPP4
HBIN018951,PRSS3
HBIN018951,GNMT
HBIN018951,XDH
HBIN018951,PTGS2
HBIN018951,PTGS1
HBIN018951,MMP8
HBIN018951,GPT
HBIN018951,GATM
HBIN018951,CTSD
HBIN018951,CDC25B
HBIN018951,BCHE
HBIN018951,AKR1B1
HBIN018951,ABAT
HBIN019189,PIM1
HBIN019189,DPP4
HBIN019189,ESR1
HBIN019189,PTGS2
HBIN019189,AR
HBIN019189,MAPK14
HBIN019189,CDK2
HBIN019189,NOS2
HBIN019189,GSK3B
HBIN019189,ESR2
HBIN019502,CHRNA4
HBIN019918,CHRM3
HBIN019918,PRSS1
HBIN019918,DPP4
HBIN019918,CHRM2
HBIN019918,GABRA1
HBIN019918,NCF1
HBIN019918,SGK3
HBIN019918,SOD2
HBIN019918,SOD1
HBIN019918,SLC6A2
HBIN019918,RASGRF2
HBIN019918,PNLIP
HBIN019918,PLAU
HBIN019918,PLAT
HBIN019918,MMP1
HBIN019918,LPL
HBIN019918,IL6
HBIN019918,MS4A2
HBIN019918,DIO1
HBIN019918,CYP19A1
HBIN019918,CSF2
HBIN019918,COMT
HBIN019918,CHRM1
HBIN019918,CDK2
HBIN019918,CCNB1
HBIN019918,CCNA2
HBIN019918,CASP3
HBIN019918,ALOX5
HBIN019918,ACHE
HBIN019919,ESR2
HBIN019919,PIM1
HBIN019919,CDK2
HBIN019919,AR
HBIN019919,CA2
HBIN019919,GSK3B
HBIN019919,DPP4
HBIN019919,PRSS1
HBIN019919,CCNA2
HBIN019919,NCOA2
HBIN019919,NOS2
HBIN019919,MAPK14
HBIN019919,PPARG
HBIN019919,DPEP1
HBIN019919,PTGS2
HBIN019919,PTGS1
HBIN019919,FASN
HBIN019919,ESR1
HBIN019919,CALM3
HBIN019921,AR
HBIN019921,CDK2
HBIN019921,NCOA2
HBIN019921,MAPK14
HBIN019921,CCNA2
HBIN019921,PIM1
HBIN019921,PPARG
HBIN019921,ESR2
HBIN019921,NOS2
HBIN019921,CHEK1
HBIN019921,DPP4
HBIN019921,GSK3B
HBIN019921,DPEP1
HBIN019921,CA2
HBIN019921,RXRA
HBIN019921,PTGS2
HBIN019921,PTGS1
HBIN019921,HAS2
HBIN019921,ESR1
HBIN019921,CAT
HBIN019921,CALM3
HBIN020014,ACHE
HBIN020014,CHRM3
HBIN020014,DPP4
HBIN020014,CHRM2
HBIN020014,CHRNA7
HBIN020014,CHRM1
HBIN020014,GABRA1
HBIN022570,MIF
HBIN022570,F5
HBIN022570,F3
HBIN022570,F2
HBIN022815,ACHE
HBIN022815,DPEP1
HBIN022815,PPARG
HBIN022815,ESR2
HBIN022815,PDE3A
HBIN022815,CHRM3
HBIN022815,PRSS1
HBIN022815,AR
HBIN022815,CHRM2
HBIN022815,NOS2
HBIN022815,MAPK14
HBIN022815,CDK2
HBIN022815,CCNA2
HBIN022815,ESR1
HBIN022815,CA2
HBIN022815,GABRA1
HBIN022815,CHRNA7
HBIN022815,DPP4
HBIN022815,ADRA1D
HBIN022815,SLC6A4
HBIN022815,SLC6A3
HBIN022815,SLC6A2
HBIN022815,RXRA
HBIN022815,PTGS2
HBIN022815,PTGS1
HBIN022815,IGHG1
HBIN022815,GSK3B
HBIN022815,CHRM1
HBIN022815,ADRB2
HBIN022815,ADRA1A
HBIN022822,KLF7
HBIN022822,PPARG
HBIN022822,FASN
HBIN023630,CHRNA2
HBIN023630,ADRA1B
HBIN023630,CHRM3
HBIN023630,SLC6A4
HBIN023630,SLC6A3
HBIN023630,SLC6A2
HBIN023630,SCN5A
HBIN023630,CHRM1
HBIN023630,ADRB2
HBIN023630,ADRB1
HBIN024875,PRSS1
HBIN024875,PRSS3
HBIN024875,PTGS1
HBIN024875,GATM
HBIN024875,BCHE
HBIN024973,VEGFC
HBIN024973,VEGFA
HBIN024973,MAPK13
HBIN024973,FLT4
HBIN024973,FGF2
HBIN024973,EIF4G1
HBIN024973,EIF4E
