3727	467	Interactome3D
4772	467	Interactome3D
11016	467	Interactome3D
468	468	Interactome3D
1051	468	Interactome3D
3725	468	Interactome3D
471	471	Interactome3D
475	475	Interactome3D
476	481	Interactome3D
801	493	Interactome3D
506	498	Interactome3D
515	498	Interactome3D
522	498	Interactome3D
501	501	Interactome3D
509	514	Interactome3D
513	514	Interactome3D
10476	515	Interactome3D
10476	522	Interactome3D
534	529	Interactome3D
9550	529	Interactome3D
475	538	Interactome3D
498	539	Interactome3D
475	540	Interactome3D
540	540	Interactome3D
546	546	Interactome3D
23476	546	Interactome3D
547	547	Interactome3D
549	549	Interactome3D
57007	552	Interactome3D
558	558	Interactome3D
1956	558	Interactome3D
563	563	Interactome3D
1991	566	Interactome3D
213	567	Interactome3D
567	567	Interactome3D
909	567	Interactome3D
910	567	Interactome3D
911	567	Interactome3D
912	567	Interactome3D
925	567	Interactome3D
2217	567	Interactome3D
3105	567	Interactome3D
3106	567	Interactome3D
3107	567	Interactome3D
3133	567	Interactome3D
3134	567	Interactome3D
3135	567	Interactome3D
571	571	Interactome3D
596	572	Interactome3D
597	572	Interactome3D
598	572	Interactome3D
599	572	Interactome3D
4170	572	Interactome3D
1839	573	Interactome3D
3312	573	Interactome3D
578	578	Interactome3D
596	578	Interactome3D
597	578	Interactome3D
598	578	Interactome3D
637	578	Interactome3D
4170	578	Interactome3D
10018	578	Interactome3D
580	580	Interactome3D
602	580	Interactome3D
672	580	Interactome3D
1630	580	Interactome3D
4792	580	Interactome3D
152330	580	Interactome3D
581	581	Interactome3D
596	581	Interactome3D
637	581	Interactome3D
10018	581	Interactome3D
27241	582	Interactome3D
55212	582	Interactome3D
92482	582	Interactome3D
123016	582	Interactome3D
582	583	Interactome3D
27241	583	Interactome3D
55212	583	Interactome3D
582	585	Interactome3D
27241	585	Interactome3D
92482	585	Interactome3D
123016	585	Interactome3D
586	586	Interactome3D
587	587	Interactome3D
590	590	Interactome3D
593	593	Interactome3D
593	594	Interactome3D
594	594	Interactome3D
1019	595	Interactome3D
348	596	Interactome3D
596	596	Interactome3D
7157	596	Interactome3D
10018	596	Interactome3D
581	597	Interactome3D
637	597	Interactome3D
5366	597	Interactome3D
10018	597	Interactome3D
581	598	Interactome3D
596	598	Interactome3D
598	598	Interactome3D
637	598	Interactome3D
7157	598	Interactome3D
7161	598	Interactome3D
7178	598	Interactome3D
10018	598	Interactome3D
578	599	Interactome3D
581	599	Interactome3D
599	599	Interactome3D
637	599	Interactome3D
5366	599	Interactome3D
10018	599	Interactome3D
203286	599	Interactome3D
23243	602	Interactome3D
604	604	Interactome3D
51043	604	Interactome3D
51341	604	Interactome3D
610	610	Interactome3D
348980	610	Interactome3D
613	613	Interactome3D
627	627	Interactome3D
4908	627	Interactome3D
629	629	Interactome3D
1675	629	Interactome3D
7097	633	Interactome3D
7099	633	Interactome3D
634	634	Interactome3D
1048	634	Interactome3D
635	635	Interactome3D
596	637	Interactome3D
639	639	Interactome3D
1399	640	Interactome3D
1956	640	Interactome3D
2064	640	Interactome3D
2322	640	Interactome3D
3815	640	Interactome3D
4233	640	Interactome3D
5295	640	Interactome3D
6774	640	Interactome3D
9021	640	Interactome3D
117157	640	Interactome3D
641	641	Interactome3D
642	642	Interactome3D
