Node,Score
MAP4K3,6.0290246580826694e-05
CBLL1,6.00724380902354e-05
ANKIB1,5.988798803065144e-05
CCDC102A,5.98817288814731e-05
ADAM21,5.9868486253905044e-05
FAM229B,5.972269679770489e-05
EDNRA,5.970326487120814e-05
ARSF,5.935187188491409e-05
ARRDC2,5.9275658317364323e-05
ATAD3A,5.926346760419658e-05
ARX,5.9232919148749196e-05
NDUFA12,5.9202022226092155e-05
MST1,5.904101903945062e-05
HBB,5.901066909222586e-05
DPEP2NB,5.885409299835178e-05
C21orf91,5.8671765562726725e-05
CLEC18C,5.8653474864571854e-05
MEF2A,5.862716594418963e-05
C2CD4B,5.851712359033275e-05
PNO1,5.822274556360044e-05
A1CF,5.803837903284606e-05
METRN,5.803139550982294e-05
EPHB4,5.7982116650533066e-05
ERICH2,5.795254933599116e-05
HTR2C,5.756131571137769e-05
ARHGEF19,5.748423966740533e-05
BAZ1B,5.714665982492607e-05
CCDC184,5.686695245161468e-05
CLCNKA,5.6721918069045246e-05
CIDEB,5.659788741993547e-05
INTS13,5.659230836009483e-05
CLEC14A,5.658049610280071e-05
HBIN035442,5.632217845663023e-05
BANF2,5.618996487455941e-05
PFKFB3,5.611168128588956e-05
MBD6,5.6095821541628506e-05
HDAC1,5.6074874803264325e-05
CCR10,5.591125878072997e-05
PROCA1,5.583545905622456e-05
EN2,5.5388939721805544e-05
ABCA2,5.526305799048819e-05
ESRRB,5.502914238278577e-05
ANK2,5.4720578323757086e-05
FAM168A,5.463914468047254e-05
CNTRL,5.4599514693772964e-05
CD1A,5.4238792628766405e-05
GZMB,5.419810709208295e-05
ADAMTS12,5.411580840956297e-05
KIAA0895,5.367099831614819e-05
C1orf105,5.340254402794974e-05
HBIN019502,5.3362034643187714e-05
HBIN038749,5.333712060648065e-05
HBIN023972,5.326691558596363e-05
CISD2,5.3164811991090585e-05
CLDN20,5.314510604323556e-05
NDC80,5.3137692623351735e-05
SH3YL1,5.311028089071829e-05
BLVRA,5.308540384711517e-05
KHDC1,5.302539925230127e-05
COX7B2,5.3017174965223154e-05
GFER,5.2896834285820424e-05
FAT4,5.2863189882616465e-05
LARP1B,5.286178347413081e-05
ARHGDIA,5.271081214567469e-05
ANKRD20A4P,5.267424074592789e-05
IL31,5.266391031152817e-05
CCDC25,5.2508403192666475e-05
DOCK11,5.246061093781714e-05
CTSA,5.239776891645019e-05
HSFX1,5.2373884620691534e-05
PTOV1,5.235091710917388e-05
HGSNAT,5.231710823996549e-05
OGT,5.2231273893093856e-05
AMER3,5.219772489121258e-05
MANBAL,5.2131633683672165e-05
SERPINA6,5.211896861011405e-05
GOLM1,5.2077161327802255e-05
CLDND1,5.2071496944900645e-05
FZD2,5.204682641807142e-05
CLDN22,5.202942140594727e-05
ICA1,5.195272764246707e-05
ABCD4,5.191111119806677e-05
ANKRD13D,5.190125031520594e-05
HBIN019146,5.188195963095939e-05
SGCB,5.181383755837231e-05
FERMT3,5.174785713632664e-05
HBIN016087,5.171954265279384e-05
MORC3,5.168155279283184e-05
ARMH3,5.131500489759677e-05
KRTAP3-1,5.1240247257786014e-05
ETFB,5.119040225471083e-05
ODF1,5.11634408327543e-05
ATXN1,5.1108656351024406e-05
HBP1,5.107075607530675e-05
PTGS1,5.103209782448985e-05
ADH6,5.100137106976618e-05
INCENP,5.087454759992777e-05
FGF21,5.085444646219319e-05
CUZD1,5.070859227524059e-05
ALYREF,5.057046758641292e-05
EMC3,5.0499215800873745e-05
CLEC11A,5.049628720058112e-05
CFB,5.0463989653103656e-05
ANKRD1,5.045182991127754e-05
ARID3C,5.0412120838878825e-05
CERKL,5.0344735755364245e-05
ABCC8,5.033300643069236e-05
BHLHE40,5.021869905193159e-05
AKR1C4,5.006750718351066e-05
ACTN1,5.002280113559634e-05
BDNF,5.0016553635911804e-05
HBG1,5.000484819618042e-05
ANKH,4.9941010714949044e-05
CPNE3,4.9890841633998095e-05
PATZ1,4.982525556140586e-05
FAM166A,4.973365664811508e-05
MREG,4.967324836600869e-05
FAM118A,4.943835179469257e-05
CA2,4.9286450123907415e-05
INTS12,4.9218423515387096e-05
DSC3,4.91202817537113e-05
C7orf25,4.897496721101933e-05
DHRS11,4.880945547744964e-05
RASGRF2,4.8782227015761436e-05
ALPK2,4.859966960694924e-05
GNAS,4.850285327202889e-05
HBIN018951,4.849012928529709e-05
CCL4,4.8302896463721614e-05
ATG2B,4.8293724665537755e-05
