Node,Score
HBIN003207,5.5437710087847464e-06
HBIN010095,5.509061062197254e-06
HBIN047744,5.504878176974675e-06
HBIN039004,5.435070560449608e-06
HBIN044776,5.343552145994792e-06
HBIN048342,5.3408376449494786e-06
HBIN047579,5.307570835439304e-06
HBIN025006,5.292688974154236e-06
HBIN047030,5.277109734784256e-06
HBIN017664,5.1101943257998365e-06
HBIN014593,5.109490142696404e-06
HBIN041752,5.090745935860653e-06
HBIN037250,5.026268517793039e-06
HBIN038680,5.008986364611125e-06
HBIN030133,4.9816586122428125e-06
HBIN044793,4.955435082007692e-06
HBIN047563,4.937477182239689e-06
HBIN047738,4.898092719526993e-06
HBIN047546,4.892056101239384e-06
HBIN037281,4.844970336815387e-06
HBIN044152,4.827844005675582e-06
HBIN037940,4.827339315992475e-06
HBIN048329,4.814512058247735e-06
HBIN047561,4.803743930332627e-06
HBIN015462,4.800317163636459e-06
HBIN007703,4.7285590115006875e-06
HBIN026465,4.728273262342109e-06
HBIN022017,4.679606796828748e-06
HBIN028847,4.638917683997161e-06
HBIN048349,4.634237088808729e-06
HBIN048353,4.610868756896913e-06
HBIN047324,4.60719077998117e-06
HBIN004459,4.605612743907446e-06
HBIN030497,4.600064915792168e-06
HBIN047017,4.593622561084887e-06
HBIN039207,4.589549273913646e-06
HBIN048186,4.564128535262885e-06
HBIN026800,4.534142044836513e-06
HBIN018094,4.529680793074928e-06
HBIN015333,4.465111567934042e-06
HBIN015210,4.4154941924406244e-06
HBIN023623,4.368270152840764e-06
HBIN047310,4.359803277626062e-06
HBIN027745,4.292621365052574e-06
HBIN047323,4.21097539134732e-06
HBIN005867,4.192433290212325e-06
HBIN038398,4.158862120398052e-06
HBIN047345,4.152334806070206e-06
HBIN047338,4.1376372720261535e-06
HBIN047317,4.1282052824641825e-06
HBIN047311,4.1282052824641825e-06
HBIN042339,4.114388172243384e-06
HBIN015702,4.084358147776622e-06
HBIN025922,4.0590118268896e-06
HBIN029074,4.0397701849080076e-06
HBIN048174,4.036708614179217e-06
HBIN047260,4.024414092530856e-06
HBIN020253,3.995380332082481e-06
HBIN047316,3.977247898858778e-06
HBIN047035,3.9755154070685e-06
HBIN047126,3.938008113323958e-06
HBIN023630,3.895824001619559e-06
HBIN011869,3.868101216270671e-06
HBIN014684,3.848624475693383e-06
HBIN027450,3.81214433211986e-06
HBIN003599,3.8059240594752075e-06
HBIN019688,3.743034573296621e-06
HBIN006852,3.670742798113556e-06
HBIN018012,3.661101598396207e-06
HBIN024930,3.6417396515582537e-06
HBIN014104,3.6404353609542765e-06
HBIN003335,3.6107262279228936e-06
HBIN027751,3.5932396081798372e-06
HBIN012338,3.590851192164211e-06
HBIN028184,3.569979480528347e-06
HBIN043445,3.5485987703861668e-06
HBIN022570,3.48434452409082e-06
HBIN011889,3.4702095055031866e-06
HBIN025965,3.450128175311337e-06
HBIN015613,3.446961875860997e-06
HBIN021422,3.4418291975383743e-06
HBIN020008,3.363238602404194e-06
HBIN019825,3.301088396022532e-06
HBIN021801,3.2982212450150953e-06
HBIN045071,3.2872090986008846e-06
HBIN045047,3.2871839092352245e-06
HBIN029013,3.282319977787573e-06
HBIN020915,3.2585329185789318e-06
HBIN016516,3.246646399722373e-06
HBIN011719,3.2420728250728985e-06
HBIN017298,3.234956488225049e-06
HBIN045937,3.232912590907831e-06
HBIN015535,3.224230024017031e-06
HBIN044062,3.198004614417075e-06
HBIN021168,3.1970746376829945e-06
HBIN013422,3.1845216590462544e-06
HBIN019765,3.162343844253553e-06
HBIN043729,3.1583953330176217e-06
HBIN015525,3.1533256233147285e-06
HBIN002087,3.14916017079478e-06
HBIN010093,3.1141797907998747e-06
HBIN002818,3.1087663252194513e-06
HBIN045972,3.090898207147498e-06
HBIN016568,3.090316598990207e-06
HBIN039451,3.0653115362348607e-06
HBIN025344,3.0377332121465205e-06
HBIN044730,3.0305600215069166e-06
HBIN036907,3.030436931823229e-06
HBIN026379,2.9768532891554306e-06
HBIN027045,2.95430186472885e-06
HBIN039185,2.940037665621022e-06
HBIN020014,2.900506245459751e-06
HBIN003464,2.858560249754221e-06
HBIN018019,2.8560959290074285e-06
HBIN036432,2.831840198518263e-06
HBIN007288,2.8238607902209706e-06
HBIN043654,2.8170754191272184e-06
HBIN041032,2.780699047833258e-06
HBIN021990,2.76116093650648e-06
HBIN024112,2.7503608641006016e-06
HBIN036308,2.748596270376176e-06
HBIN019948,2.7281935233029603e-06
